--------------------------------------------------------------------
Target: RPI 
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:21:52 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:21:52 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:21:57 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:21:52 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:21:57 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:22:03 -0400 	TEMP:13.548 C 	LIGHT:3.226 	
--------------------------------------------------------------------
--------------------------------------------------------------------
Target: RPI
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:24:48 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:24:48 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:24:54 -0400 	TEMP:13.548 C 	LIGHT:3.617 	
TIME_AT_PI:2016-07-07 20:24:48 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:24:54 -0400 	TEMP:13.548 C 	LIGHT:3.617 	
TIME_AT_PI:2016-07-07 20:25:00 -0400 	TEMP:13.226 C 	LIGHT:2.053 	
TIME_AT_PI:2016-07-07 20:24:48 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:24:54 -0400 	TEMP:13.548 C 	LIGHT:3.617 	
TIME_AT_PI:2016-07-07 20:25:00 -0400 	TEMP:13.226 C 	LIGHT:2.053 	
TIME_AT_PI:2016-07-07 20:25:05 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
--------------------------------------------------------------------
Target: RPI
Date: 07/07/16
--------------------------------------------------------------------
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:30 -0400 	TEMP:12.903 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:30 -0400 	TEMP:12.903 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:34 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:30 -0400 	TEMP:12.903 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:34 -0400 	TEMP:13.226 C 	LIGHT:3.812 	
TIME_AT_PI:2016-07-07 20:28:40 -0400 	TEMP:13.226 C 	LIGHT:3.324 	
TIME_AT_PI:2016-07-07 20:28:07 -0400 	TEMP:13.226 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:13 -0400 	TEMP:13.548 C 	LIGHT:3.030 	
TIME_AT_PI:2016-07-07 20:28:19 -0400 	TEMP:12.903 C 	LIGHT:1.564 	
TIME_AT_PI:2016-07-07 20:28:24 -0400 	TEMP:13.548 C 	LIGHT:0.000 	
TIME_AT_PI:2016-07-07 20:28:30 -0400 	TEMP:12.903 C 	LIGHT:0.000 	
